source_rack,target_rack,source_row,source_col,target_row,target_col,manhattan_distance,euclidean_m,source_delta_power_W,delta_inlet_K,delta_inlet_K_per_kW
129,134,6,9,6,14,5,3.2310988842807014,13923.15131660198,0.003255829721894088,0.000233842874207065
129,135,6,9,6,15,6,3.7947331922020537,13923.15131660198,-8.425028831737791e-05,-6.051093348164491e-06
129,136,6,9,6,16,7,4.368065933568311,13923.15131660198,-0.0024516369270450866,-0.00017608347932854485
129,137,6,9,6,17,8,4.947726750741192,13923.15131660198,-0.004029959248896375,-0.00028944304039065123
129,138,6,9,6,18,9,5.531726674375731,13923.15131660198,-0.004909416309253345,-0.0003526081271126711
129,139,6,9,6,19,10,6.118823416311341,13923.15131660198,-0.005139441186244653,-0.00036912916259958895
129,140,6,9,7,0,10,5.909314681077663,13923.15131660198,0.008048179072662975,0.0005780429221555841
129,141,6,9,7,1,9,5.366563145999496,13923.15131660198,0.011330894667068492,0.0008138168155622587
129,142,6,9,7,2,8,4.83735464897913,13923.15131660198,0.01579214785518701,0.0011342366032003428
129,143,6,9,7,3,7,4.3266615305567875,13923.15131660198,0.021305845638778464,0.0015302459302710698
129,144,6,9,7,4,6,3.84187454245971,13923.15131660198,0.02755560229677556,0.0019791210818716188
129,145,6,9,7,5,5,3.3941125496954285,13923.15131660198,0.0339422797614688,0.002437830272015789
129,146,6,9,7,6,4,3.0000000000000004,13923.15131660198,0.03942609768186145,0.002831693543030717
129,147,6,9,7,7,3,2.683281572999748,13923.15131660198,0.04247021663507766,0.0030503307526677623
129,148,6,9,7,8,2,2.4738633753705965,13923.15131660198,0.04146717383167697,0.0029782893892872854
129,149,6,9,7,9,1,2.4000000000000004,13923.15131660198,0.035930757112140554,0.0025806483241546533
129,150,6,9,7,10,2,2.4738633753705965,13923.15131660198,0.027524636503098776,0.0019768970312258527
129,151,6,9,7,11,3,2.6832815729997477,13923.15131660198,0.018900822096235004,0.0013575103556978257
129,152,6,9,7,12,4,3.0,13923.15131660198,0.011651134819871345,0.000836817366624359
129,153,6,9,7,13,5,3.394112549695428,13923.15131660198,0.006091161142087742,0.0004374843743043025
129,154,6,9,7,14,6,3.841874542459709,13923.15131660198,0.001985898296389621,0.00014263281718569228
129,155,6,9,7,15,7,4.326661530556787,13923.15131660198,-0.0009818638473149122,-7.052023101581441e-05
129,156,6,9,7,16,8,4.83735464897913,13923.15131660198,-0.003066239601434262,-0.00022022597698683881
129,157,6,9,7,17,9,5.366563145999495,13923.15131660198,-0.004442490301997282,-0.0003190721842331809
129,158,6,9,7,18,10,5.909314681077662,13923.15131660198,-0.005224297673819933,-0.00037522379488833646
129,159,6,9,7,19,11,6.4621977685614045,13923.15131660198,-0.005485747947158615,-0.00039400189098120364
